,BANK,ENV,INS,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB,TRAIN,CV
121,MFC,D2,-4.0,13.0,5.0,0.001,0.001,28.63,19.91,72.58,62.38
122,MFC,D2,-4.0,13.0,5.0,0.001,0.0001,28.59,19.79,72.69,62.37
123,MFC,D2,-4.0,13.0,5.0,0.001,1e-05,28.59,19.77,72.7,62.38
124,MFC,D2,-4.0,13.0,5.0,0.001,1e-06,28.6,19.76,72.69,62.41
125,MFC,D2,-4.0,13.0,5.0,0.0001,0.1,31.63,28.5,64.46,60.85
126,MFC,D2,-4.0,13.0,5.0,0.0001,0.01,28.9,21.72,70.99,62.86
127,MFC,D2,-4.0,13.0,5.0,0.0001,0.001,28.31,18.68,73.32,62.65
128,MFC,D2,-4.0,13.0,5.0,0.0001,0.0001,28.59,19.0,72.86,62.33
129,MFC,D2,-4.0,13.0,5.0,0.0001,1e-05,28.68,20.35,72.02,62.37
130,MFC,D2,-4.0,13.0,5.0,0.0001,1e-06,28.6,19.68,72.71,62.42
131,MFC,D2,-4.0,13.0,5.0,1e-05,0.1,31.57,28.45,64.48,60.87
132,MFC,D2,-4.0,13.0,5.0,1e-05,0.01,28.48,20.63,71.61,63.05
133,MFC,D2,-4.0,13.0,5.0,1e-05,0.001,28.6,19.88,72.65,62.48
134,MFC,D2,-4.0,13.0,5.0,1e-05,0.0001,28.59,19.77,72.72,62.37
135,MFC,D2,-4.0,13.0,5.0,1e-05,1e-05,28.63,19.8,72.71,62.34
136,MFC,D2,-4.0,13.0,5.0,1e-05,1e-06,28.8,20.4,72.2,62.19
137,MFC,D2,-4.0,13.0,5.0,1e-06,0.1,31.56,28.46,64.47,60.88
138,MFC,D2,-4.0,13.0,5.0,1e-06,0.01,28.31,19.85,72.62,63.27
139,MFC,D2,-4.0,13.0,5.0,1e-06,0.001,28.63,19.88,72.63,62.41
140,MFC,D2,-4.0,13.0,5.0,1e-06,0.0001,28.76,20.45,72.06,62.32
141,MFC,D2,-4.0,13.0,5.0,1e-06,1e-05,28.66,19.77,72.89,62.26
142,MFC,D2,-4.0,13.0,5.0,1e-06,1e-06,28.8,20.38,72.23,62.26
143,MFC,D2,-4.0,13.0,6.0,0.1,0.1,31.42,27.89,64.62,60.84
144,MFC,D2,-4.0,13.0,6.0,0.1,0.01,28.67,22.06,70.26,62.65
145,MFC,D2,-4.0,13.0,6.0,0.1,0.001,28.42,21.23,71.1,62.59
146,MFC,D2,-4.0,13.0,6.0,0.1,0.0001,28.02,20.04,72.08,62.74
147,MFC,D2,-4.0,13.0,6.0,0.1,1e-05,28.33,20.91,71.16,62.55
148,MFC,D2,-4.0,13.0,6.0,0.1,1e-06,27.96,19.9,72.09,62.64
149,MFC,D2,-4.0,13.0,6.0,0.01,0.1,32.08,28.74,64.21,60.47
150,MFC,D2,-4.0,13.0,6.0,0.01,0.01,28.32,20.64,71.81,63.11
151,MFC,D2,-4.0,13.0,6.0,0.01,0.001,28.12,18.85,72.96,62.68
152,MFC,D2,-4.0,13.0,6.0,0.01,0.0001,28.25,19.12,72.53,62.45
153,MFC,D2,-4.0,13.0,6.0,0.01,1e-05,28.21,19.09,72.54,62.44
154,MFC,D2,-4.0,13.0,6.0,0.01,1e-06,28.21,19.09,72.54,62.44
155,MFC,D2,-4.0,13.0,6.0,0.001,0.1,32.02,28.47,64.43,60.64
156,MFC,D2,-4.0,13.0,6.0,0.001,0.01,28.33,20.61,71.9,63.07
157,MFC,D2,-4.0,13.0,6.0,0.001,0.001,28.06,18.81,73.44,62.51
158,MFC,D2,-4.0,13.0,6.0,0.001,0.0001,28.08,18.62,73.56,62.39
159,MFC,D2,-4.0,13.0,6.0,0.001,1e-05,28.13,19.21,72.92,62.37
160,MFC,D2,-4.0,13.0,6.0,0.001,1e-06,28.1,18.62,73.58,62.37
161,MFC,D2,-4.0,13.0,6.0,0.0001,0.1,32.01,28.48,64.42,60.64
162,MFC,D2,-4.0,13.0,6.0,0.0001,0.01,28.41,20.61,71.92,63.01
