,BANK,INIT,ENV,MODEL,INS,TEST,COMP,OCC AVG,OCC MIN,RO,TB,HMM,PER
144,MFC,FlatStart,D2,xwtri,-12.5,TEST,,,,50.0,1600.0,8.0,31.38
36,MFC,FlatStart,D2,xwtri,-12.5,TEST,1037.0,2540.64348982,317.062408,100.0,1600.0,8.0,31.38
123,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,3901.0,1197.13232787,267.315826,400.0,600.0,32.0,31.4
64,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1756.0,1887.07630175,257.285492,150.0,1150.0,8.0,31.4
209,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,900.0,2000.0,12.0,31.44
159,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1640.0,1898.38587766,411.355835,500.0,1100.0,20.0,31.51
200,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,800.0,1100.0,20.0,31.52
83,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1655.0,1965.15418618,312.937195,200.0,1200.0,12.0,31.52
17,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1931.0,1791.6371598,259.131042,100.0,1100.0,8.0,31.53
162,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2932.0,1369.72752378,406.836121,600.0,600.0,12.0,31.55
201,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,800.0,1100.0,32.0,31.57
199,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,800.0,1100.0,16.0,31.59
100,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,3119.0,1348.87025554,263.266083,200.0,800.0,20.0,31.59
145,MFC,FlatStart,D2,xwtri,-12.5,TEST,,,,50.0,2200.0,8.0,31.59
93,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,4797.0,1070.93342809,170.444473,200.0,600.0,12.0,31.6
110,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1498.0,2081.68460103,393.388947,300.0,1250.0,8.0,31.6
208,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2025.0,1603.78701863,409.242035,800.0,600.0,8.0,31.6
197,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2384.0,1581.12369485,249.687393,75.0,950.0,8.0,31.63
156,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,950.0,8.0,31.63
78,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,2165.0,1658.64115932,253.75946,200.0,1000.0,12.0,31.64
30,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1149.0,2450.84489559,288.286041,100.0,1500.0,12.0,31.71
56,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2170.0,1660.86968536,251.387024,150.0,1000.0,8.0,31.72
51,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2393.0,1581.71117907,249.667328,100.0,950.0,8.0,31.75
157,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1640.0,1898.38587766,411.355835,500.0,1100.0,12.0,31.75
68,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1515.0,2064.27095629,287.256317,150.0,1250.0,8.0,31.78
187,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1527.0,2055.45528834,285.837708,75.0,1250.0,8.0,31.79
143,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,1250.0,8.0,31.79
77,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2360.0,1589.36476036,251.000778,150.0,950.0,8.0,31.81
27,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1520.0,2057.73449042,287.436188,100.0,1250.0,8.0,31.82
166,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2932.0,1369.72752378,406.836121,600.0,600.0,32.0,31.87
95,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,4797.0,1070.93342809,170.444473,200.0,600.0,20.0,31.89
99,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,3119.0,1348.87025554,263.266083,200.0,800.0,16.0,31.89
34,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1149.0,2450.84489559,288.286041,100.0,1500.0,8.0,31.9
167,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2932.0,1369.72752378,406.836121,600.0,600.0,8.0,31.97
115,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1112.0,2485.47916528,409.778137,300.0,1500.0,8.0,31.98
198,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,800.0,1100.0,12.0,31.98
82,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,2165.0,1658.64115932,253.75946,200.0,1000.0,8.0,32.0
119,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,3901.0,1197.13232787,267.315826,400.0,600.0,12.0,32.0
124,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,3901.0,1197.13232787,267.315826,400.0,600.0,8.0,32.04
87,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1655.0,1965.15418618,312.937195,200.0,1200.0,8.0,32.06
98,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,3119.0,1348.87025554,263.266083,200.0,800.0,12.0,32.1
118,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,300.0,2000.0,8.0,32.19
211,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,900.0,2000.0,8.0,32.21
73,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1155.0,2445.97168751,286.020294,150.0,1500.0,8.0,32.23
92,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,200.0,2000.0,8.0,32.24
106,MFC,FlatStart,D2,xwtri,-10.0,TEST,,,,25.0,2000.0,8.0,32.24
101,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,3119.0,1348.87025554,263.266083,200.0,800.0,32.0,32.28
96,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,4797.0,1070.93342809,170.444473,200.0,600.0,32.0,32.51
102,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,3119.0,1348.87025554,263.266083,200.0,800.0,8.0,32.57
202,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,,,,800.0,1100.0,8.0,32.69
161,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,1640.0,1898.38587766,411.355835,500.0,1100.0,8.0,32.72
97,MFC,FlatStart,D2,xwtri,-10.0,TEST.CORE,4797.0,1070.93342809,170.444473,200.0,600.0,8.0,32.88
